Date,Open,High,Low,Close,Adj Close,Volume
2023-09-22,8.070000,8.690000,7.600000,8.400000,8.400000,7263290
2023-09-25,8.510000,10.300000,8.240000,9.430000,9.430000,11665620
2023-09-26,9.760000,10.700000,8.730000,9.220000,9.220000,8485010
2023-09-27,10.100000,10.500000,8.260000,8.900000,8.900000,10774080
2023-09-28,8.800000,8.870000,7.700000,8.140000,8.140000,8539350
2023-09-29,8.200000,8.450000,7.700000,7.830000,7.830000,3040040
2023-10-02,7.800000,8.100000,7.160000,7.370000,7.370000,3379630
2023-10-03,7.170000,7.300000,6.640000,6.830000,6.830000,3608280
2023-10-04,7.100000,7.860000,6.650000,7.530000,7.530000,4559960
2023-10-05,7.690000,8.000000,6.900000,7.090000,7.090000,4423560
2023-10-06,6.950000,7.450000,6.920000,7.050000,7.050000,2412580
2023-10-09,6.800000,6.990000,6.250000,6.850000,6.850000,2602270
2023-10-10,7.170000,7.890000,7.010000,7.290000,7.290000,4073370
2023-10-11,7.510000,7.620000,6.810000,6.930000,6.930000,2307080
2023-10-12,6.970000,7.120000,6.560000,6.780000,6.780000,1667970
2023-10-13,6.850000,7.080000,6.710000,7.000000,7.000000,1600100
2023-10-16,7.040000,7.370000,6.800000,7.000000,7.000000,1868240
2023-10-17,7.030000,7.130000,6.700000,6.930000,6.930000,2253690
2023-10-18,6.860000,6.880000,5.900000,5.960000,5.960000,3336230
2023-10-19,5.910000,5.930000,5.310000,5.390000,5.390000,2844530
2023-10-20,5.290000,5.440000,5.050000,5.120000,5.120000,1965990
2023-10-23,5.000000,5.280000,4.750000,5.070000,5.070000,2330880
2023-10-24,5.190000,6.420000,5.150000,6.220000,6.220000,5173690
2023-10-25,6.120000,6.210000,5.230000,5.370000,5.370000,3619530
2023-10-26,5.400000,5.640000,5.000000,5.180000,5.180000,2392760
2023-10-27,5.260000,5.300000,5.000000,5.070000,5.070000,2419730
2023-10-30,5.300000,5.360000,5.120000,5.180000,5.180000,2043620
2023-10-31,5.290000,5.820000,5.120000,5.650000,5.650000,2542470
2023-11-01,5.680000,6.000000,5.300000,5.530000,5.530000,2359480
2023-11-02,5.840000,6.390000,5.700000,5.920000,5.920000,3038790
2023-11-03,6.150000,6.670000,6.070000,6.280000,6.280000,2790440
2023-11-06,6.580000,6.700000,5.760000,5.830000,5.830000,2345200
2023-11-07,5.860000,6.010000,5.540000,5.870000,5.870000,1422860
2023-11-08,6.300000,6.420000,5.700000,5.810000,5.810000,2535440
2023-11-09,5.900000,6.080000,5.130000,5.230000,5.230000,3628610
2023-11-10,5.400000,5.500000,4.710000,5.210000,5.210000,3085480
2023-11-13,5.200000,5.470000,4.980000,5.430000,5.430000,1768360
2023-11-14,5.550000,5.770000,5.180000,5.320000,5.320000,2185790
2023-11-15,5.400000,5.830000,5.310000,5.430000,5.430000,2661670
2023-11-16,5.420000,5.550000,5.260000,5.310000,5.310000,1286120
2023-11-17,5.330000,5.750000,5.320000,5.500000,5.500000,2196110
2023-11-20,5.500000,6.150000,5.500000,5.900000,5.900000,2576020
2023-11-21,5.800000,5.810000,5.600000,5.750000,5.750000,915230
2023-11-22,5.750000,5.960000,5.660000,5.770000,5.770000,1269760
